id,classes
0,1
1,1
2,1
3,2
4,2
5,1
6,2
7,2
8,1
9,2
10,1
11,1
12,1
13,2
14,2
15,1
16,1
17,2
18,1
19,2
20,1
21,1
22,1
23,2
24,2
25,1
26,1
27,1
28,2
29,1
30,2
31,2
32,2
33,2
34,2
35,1
36,1
37,1
38,2
39,2
40,1
41,1
42,1
43,1
44,1
45,2
46,2
47,2
48,2
49,1
50,1
51,1
52,2
53,2
54,2
55,2
56,1
57,1
58,2
59,2
60,1
61,1
62,2
63,2
64,2
65,1
66,2
67,1
68,2
69,2
70,1
71,2
72,2
73,1
74,1
75,2
76,1
77,1
78,2
79,1
80,2
81,1
82,2
83,2
84,2
85,2
86,1
87,1
88,2
89,1
90,1
91,1
92,1
93,1
94,1
95,2
96,2
97,1
98,2
99,2
100,1
101,1
102,1
103,2
104,1
105,2
106,1
107,1
108,1
109,1
110,2
111,1
112,2
113,2
114,1
115,1
116,2
117,1
118,1
119,2
120,1
121,1
122,2
123,2
124,2
125,2
126,2
127,1
128,1
129,2
130,1
131,1
132,1
133,2
134,1
135,1
136,1
137,1
138,1
139,2
140,1
141,2
142,1
143,1
144,1
145,2
146,1
147,1
148,1
149,1
150,2
151,1
152,2
153,1
154,1
155,1
156,1
157,1
158,1
159,1
160,1
161,1
162,2
163,1
164,1
165,2
166,2
167,2
168,1
169,1
170,1
171,2
172,1
173,1
174,2
175,2
176,1
177,1
178,2
179,1
180,2
181,2
182,2
183,2
184,2
185,2
186,2
187,1
188,2
189,1
190,1
191,2
192,2
193,1
194,1
195,1
196,1
197,2
198,2
199,2
200,1
201,2
202,2
203,2
204,2
205,1
206,1
207,1
208,2
209,2
210,1
211,2
212,1
213,2
214,2
215,2
216,2
217,1
218,2
219,1
220,2
221,1
222,1
223,2
224,2
225,2
226,1
227,1
228,2
229,1
230,2
231,2
232,1
233,2
234,1
235,2
236,2
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,2
245,2
246,2
247,1
248,1
249,2
250,2
251,1
252,2
253,1
254,2
255,2
256,1
257,2
258,2
259,2
260,1
261,1
262,1
263,2
264,2
265,1
266,2
267,2
268,2
269,2
270,2
271,2
272,1
273,2
274,2
275,2
276,1
277,2
278,2
279,2
280,1
281,1
282,1
283,1
284,1
285,2
286,1
287,2
288,2
289,2
290,1
291,1
292,1
293,1
294,1
295,1
296,1
297,1
298,2
299,1
300,2
301,1
302,1
303,1
304,1
305,2
306,2
307,1
308,2
309,2
310,2
311,2
312,2
313,2
314,1
315,1
316,1
317,1
318,1
319,1
320,1
321,2
322,2
323,1
324,1
325,2
326,2
327,1
328,1
329,1
330,1
331,1
332,1
333,1
334,1
335,2
336,2
337,1
338,2
339,2
340,1
341,1
342,1
343,1
344,1
345,2
346,2
347,1
348,2
349,1
350,1
351,1
352,1
353,1
354,2
355,2
356,1
357,1
358,1
359,2
360,1
361,1
362,2
363,1
364,1
365,2
366,1
367,2
368,2
369,1
370,2
371,1
372,1
373,1
374,1
375,1
376,2
377,1
378,1
379,2
380,1
381,2
382,2
383,2
384,1
385,2
386,2
387,2
388,1
389,1
390,2
391,2
392,1
393,1
394,2
395,1
396,1
397,2
398,2
399,1
400,1
401,1
402,2
403,2
404,2
405,2
406,1
407,1
408,1
409,1
410,2
411,1
412,2
413,1
414,2
415,2
416,1
417,1
418,2
419,2
420,2
421,2
422,1
423,1
424,2
425,2
426,2
427,1
428,2
429,1
430,2
431,1
432,1
433,2
434,1
435,1
436,1
437,1
438,1
439,2
440,1
441,2
442,2
443,1
444,2
445,1
446,1
447,1
448,2
449,2
450,2
451,1
452,2
453,1
454,1
455,2
456,1
457,1
458,2
459,1
460,1
461,1
462,2
463,2
464,1
465,2
466,2
467,2
468,2
469,2
470,2
471,1
472,2
473,2
474,2
475,1
476,2
477,2
478,2
479,2
480,1
481,1
482,1
483,2
484,2
485,1
486,2
487,2
488,1
489,2
490,2
491,2
492,2
493,2
494,1
495,2
496,1
497,1
498,2
499,2
500,2
501,2
502,1
503,1
504,2
505,2
506,2
507,1
508,2
509,2
510,2
511,1
512,2
513,2
514,1
515,1
516,1
517,1
518,1
519,2
520,1
521,2
522,2
523,1
524,2
525,2
526,2
527,2
528,2
529,2
530,1
531,2
532,2
533,2
534,2
535,1
536,1
537,2
538,1
539,2
540,1
541,2
542,1
543,2
544,2
545,1
546,1
547,2
548,2
549,2
550,1
551,2
552,2
553,1
554,1
555,2
556,2
557,2
558,2
559,1
560,1
561,2
562,1
563,1
564,2
565,2
566,1
567,1
568,1
569,1
570,2
571,2
572,2
573,2
574,1
575,2
576,1
577,1
578,2
579,1
580,1
581,2
582,1
583,2
584,1
585,1
586,1
587,1
588,1
589,1
590,1
591,2
592,2
593,2
594,2
595,1
596,2
597,1
598,1
599,1
600,2
601,2
602,1
603,1
604,1
605,2
606,1
607,2
608,1
609,2
610,1
611,1
612,1
613,1
614,1
615,2
616,2
617,2
618,1
619,2
620,2
621,1
622,1
623,1
624,1
625,2
626,2
627,2
628,2
629,1
630,2
631,1
632,2
633,1
634,2
635,2
636,2
637,2
638,2
639,2
640,1
641,1
642,1
643,2
644,2
645,1
646,2
647,2
648,2
649,1
650,2
651,2
652,2
653,1
654,2
655,2
656,1
657,2
658,2
659,1
660,1
661,2
662,2
663,2
664,1
665,2
666,1
667,1
668,1
669,1
670,1
671,1
672,1
673,2
674,1
675,1
676,1
677,2
678,2
679,1
680,2
681,2
682,2
683,1
684,2
685,1
686,2
687,2
688,2
689,1
690,1
691,1
692,2
693,2
694,1
695,1
696,2
697,1
698,1
699,2
700,1
701,1
702,1
703,1
704,2
705,1
706,2
707,1
708,2
709,1
710,1
711,1
712,1
713,2
714,2
715,1
716,2
717,2
718,2
719,1
720,1
721,1
722,1
723,1
724,1
725,1
726,2
727,1
728,1
729,2
730,2
731,1
732,1
733,1
734,2
735,2
736,1
737,2
738,1
739,2
740,1
741,2
742,2
743,2
744,2
745,1
746,1
747,2
748,2
749,2
750,2
751,1
752,1
753,2
754,2
755,1
756,2
757,1
758,1
759,1
760,1
761,1
762,1
763,1
764,1
765,2
766,1
767,1
768,1
769,1
770,1
771,1
772,1
773,1
774,1
775,2
776,2
777,1
778,1
779,1
780,1
781,1
782,2
783,1
784,2
785,2
786,1
787,2
788,2
789,2
790,2
791,2
792,2
793,2
794,2
795,1
796,1
797,1
798,1
799,1
